subjID,gender,age,phaseName,order,itemID,TNTcond,valence,cue,tar
6,1,19,encoding,0,52,filler,neu,gift15,2383.0
6,1,19,encoding,1,55,filler,neu,doorknob4,2487.0
6,1,19,encoding,2,34,filler,pos,decorativescreen10,1920.0
6,1,19,encoding,3,40,filler,pos,abacus9,2530.0
6,1,19,encoding,4,50,filler,neu,vase15,2309.0
6,1,19,encoding,5,58,t,neu,hanger9,2980.0
6,1,19,encoding,6,51,t,neu,coin15,2382.0
6,1,19,encoding,7,49,t,neu,bonzai14,2308.0
6,1,19,encoding,8,29,nt,neg2,broom11,9921.0
6,1,19,encoding,9,47,t,neu,tennisracquet7,2272.0
6,1,19,encoding,10,31,t,pos,button5,1601.0
6,1,19,encoding,11,54,t,neu,toothpaste14,2396.0
6,1,19,encoding,12,6,b,neg1,clock1,6838.0
6,1,19,encoding,13,20,nt,neg2,windchime16,3195.0
6,1,19,encoding,14,38,t,pos,lei9,2373.0
6,1,19,encoding,15,37,t,pos,scale13,2340.0
6,1,19,encoding,16,25,nt,neg2,key3,9321.0
6,1,19,encoding,17,0,b,neg1,bearteddy16,2683.0
6,1,19,encoding,18,10,b,neg1,bowtie11,9415.0
6,1,19,encoding,19,43,t,pos,chessboard14,7325.0
6,1,19,encoding,20,8,b,neg1,garbagetrash14,9187.0
6,1,19,encoding,21,45,t,neu,powerstrip12,1303.0
6,1,19,encoding,22,12,b,neg1,nunchaku16,9611.0
6,1,19,encoding,23,57,t,neu,turtle3,2870.0
6,1,19,encoding,24,14,b,neg1,cookingpan3,9909.0
6,1,19,encoding,25,48,t,neu,stapler5,2273.0
6,1,19,encoding,26,13,b,neg1,tent4,9908.0
6,1,19,encoding,27,28,nt,neg2,handbag3,9910.0
6,1,19,encoding,28,27,nt,neg2,suitcase9,9599.0
6,1,19,encoding,29,2,b,neg1,exercise_equipment5,3216.0
6,1,19,encoding,30,41,t,pos,frisbee0,4626.0
6,1,19,encoding,31,23,nt,neg2,pokercard14,9163.0
6,1,19,encoding,32,18,nt,neg2,backpack6,2490.0
6,1,19,encoding,33,5,b,neg1,calculator3,6520.0
6,1,19,encoding,34,32,t,pos,dresser12,1659.0
6,1,19,encoding,35,11,b,neg1,camera7,9428.0
6,1,19,encoding,36,42,t,pos,cookpot16,7230.0
6,1,19,encoding,37,21,nt,neg2,cheesegrater14,3500.0
6,1,19,encoding,38,39,t,pos,butterfly8,2398.0
6,1,19,encoding,39,15,nt,neg2,rollerskates16,2205.0
6,1,19,encoding,40,22,nt,neg2,cheese8,6821.0
6,1,19,encoding,41,33,t,pos,lock14,1710.0
6,1,19,encoding,42,19,nt,neg2,tape8,2590.0
6,1,19,encoding,43,26,nt,neg2,compass1,9425.0
6,1,19,encoding,44,1,b,neg1,dumbbell0,2750.0
6,1,19,encoding,45,24,nt,neg2,seashell9,9301.0
6,1,19,encoding,46,16,nt,neg2,hourglass16,2345.1
6,1,19,encoding,47,44,t,pos,scissors5,8120.0
6,1,19,encoding,48,53,t,neu,ringbinder8,2390.0
6,1,19,encoding,49,7,b,neg1,cushion2,9075.0
6,1,19,encoding,50,3,b,neg1,fan2,3300.0
6,1,19,encoding,51,17,nt,neg2,frame10,2456.0
6,1,19,encoding,52,46,t,neu,balloon10,2102.0
6,1,19,encoding,53,9,b,neg1,binoculars14,9290.0
6,1,19,encoding,54,4,b,neg1,microwave1,6212.0
6,1,19,encoding,55,56,filler,neu,glove6,2749.0
6,1,19,encoding,56,36,filler,pos,cookie1,2154.0
6,1,19,encoding,57,30,filler,pos,microscope1,1340.0
6,1,19,encoding,58,35,filler,pos,hairbrush9,2091.0
6,1,19,encoding,59,59,filler,neu,umbrella2,7057.0
